customer_id,recency,frequency,monetary,purchase_variability,first_purchase,last_purchase,tenure_days,purchases_per_day,spend_per_day,recency_ratio,customer_value_score,cluster
00235c62-e617-4eb0-a050-470c9f30e87f,441,1,26.99,0.0,2023-11-08,2023-11-08,0,0.0,0.0,1.0,0.0031839771195925804,0
00341635-2bff-4605-b3d0-ea405649659d,7,3,90.01666666666665,8.44029225402375,2024-03-20,2025-01-15,301,0.009966777408637873,0.8971760797342191,0.023255813953488372,0.0105747129327308,1
003fb56f-aa7f-4dd9-83bd-2209bb1076d4,224,1,129.52,0.0,2024-06-12,2024-06-12,0,0.0,0.0,1.0,0.014775627242371593,0
004c365f-ed0a-4287-af51-77c29fc32803,128,2,30.275,12.296586924834061,2024-07-30,2024-09-16,48,0.041666666666666664,1.2614583333333333,2.6666666666666665,0.003687957495203141,0
004db925-5b13-4cf3-baac-df11e6e9b04b,203,2,59.6,37.34938018227344,2024-06-17,2024-07-03,16,0.125,7.45,12.6875,0.007003329970093364,0
0052d0bb-94f7-47b4-ad1f-ae1f03bfe005,14,5,137.43,49.30069015744099,2024-03-05,2025-01-08,309,0.016181229773462782,2.2237864077669904,0.045307443365695796,0.016200264924057624,1
0054705a-66d4-4d5f-8d6c-0abc2655f800,155,2,20.046799999999998,3.903229432149743,2024-08-18,2024-08-20,2,1.0,20.046799999999998,77.5,0.002531596276186187,0
00569d2b-356d-4935-a9d6-1b7be2679e27,521,1,19.39,0.0,2023-08-20,2023-08-20,0,0.0,0.0,1.0,0.002324750152528107,0
00610527-c2a9-478d-bcdc-97467ce73f0c,497,2,601.11,76.19782674066235,2023-08-04,2023-09-13,40,0.05,30.055500000000002,12.425,0.06822438193523589,0
007ec963-70cd-4a9e-83f7-77bf5ba7d83a,166,1,10.79,0.0,2024-08-09,2024-08-09,0,0.0,0.0,1.0,0.0013524670055867286,0
00833a4e-08dd-4b50-bf20-18899d50ed5e,99,4,993.355,535.3668568063086,2023-09-29,2024-10-15,382,0.010471204188481676,10.401623036649214,0.2591623036649215,0.11283528486048212,1
00839bed-1ea3-4203-94bd-295bf8aa4702,315,1,8.270800000000001,0.0,2024-03-13,2024-03-13,0,0.0,0.0,1.0,0.001067655877240831,0
0085d89d-7120-4d78-bb1d-c9a2792811cf,371,1,25.5024,0.0,2024-01-17,2024-01-17,0,0.0,0.0,1.0,0.0030157947464076974,0
00896d4f-6984-4012-a01c-385307f0f476,294,1,95.7,0.0,2024-04-03,2024-04-03,0,0.0,0.0,1.0,0.010952067238934684,0
008c4a19-05d5-4ad2-a48b-607c4fe8581e,106,2,107.205,99.46871090951164,2024-06-04,2024-10-08,126,0.015873015873015872,1.7016666666666667,0.8412698412698413,0.0123853694131334,1
0090b909-6302-4f27-a3ca-016d600f2fb1,36,2,75.56,12.713779925734123,2024-10-14,2024-12-17,64,0.03125,2.36125,0.5625,0.00880770660092876,0
0093a617-abe6-49fc-91db-f600fc5e9d50,489,1,31.98,0.0,2023-09-21,2023-09-21,0,0.0,0.0,1.0,0.0037481274571783334,0
0098aa4f-19ed-4c27-a695-888f74d9ea00,195,1,66.55,0.0,2024-07-11,2024-07-11,0,0.0,0.0,1.0,0.00765647959552292,0
00998256-7980-4896-88fe-621bab46020c,85,2,40.365,13.583521266593577,2024-10-15,2024-10-29,14,0.14285714285714285,5.7664285714285715,6.071428571428571,0.004828694350161107,0
00a5cb3b-d230-4f9f-af8e-5cf0b2b68b62,258,1,21.19,0.0,2024-05-09,2024-05-09,0,0.0,0.0,1.0,0.002528251276306535,0
00c17456-d927-4726-af1a-72f43e0882d1,325,1,80.2884,0.0,2024-03-03,2024-03-03,0,0.0,0.0,1.0,0.009209690617143784,0
00c94bf0-ca04-4f9a-9180-a86bd89b11e1,166,2,30.6682,21.135987375090853,2024-04-22,2024-08-09,109,0.01834862385321101,0.5627192660550459,1.5229357798165137,0.00373241118513074,0
00cd67b2-6453-4092-9f98-61f0b38152c8,44,2,136.04,69.43788591251896,2024-11-23,2024-12-09,16,0.125,17.005,2.75,0.015645344359883937,0
00e04a16-7034-4753-9891-5333b7e52883,119,1,19.97,0.0,2024-09-25,2024-09-25,0,0.0,0.0,1.0,0.0023903227368567113,0
